mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,split3_test_score,split4_test_score
11.579659620920816,0.948101066642128,0.1031624476114908,0.0086942514702731,1.0,0.1,0.02,700,10,13,0.1,0.5,0.8,-1615119360.0,-647898560.0,-653879488.0,-972299136.0,454549097.5772899,64,1.0,0.1,0.02,700,10,13,0.1,0.5,0.8,,
3.978008985519409,0.0208712559470155,0.0992334683736165,0.0028673151901085,1.0,0.1,0.0,850,5,7,0.1,0.1,0.8,-1591857408.0,-643090304.0,-616493632.0,-950480448.0,453651958.6309164,39,1.0,0.1,0.0,850,5,7,0.1,0.1,0.8,,
1.5832258860270183,0.0209875049991448,0.0709097385406494,0.0017495321795639,1.0,1.0,0.1,100,10,10,0.05,0.0,0.6,-1679741568.0,-683703360.0,-673714624.0,-1012386517.3333334,471908901.1306111,87,1.0,1.0,0.1,100,10,10,0.05,0.0,0.6,,
31.106104612350464,0.3033565846435738,0.1495001316070556,0.0057593641917927,1.0,1.0,0.1,750,10,15,0.01,0.2,0.7,-1611423872.0,-621706432.0,-610409600.0,-947846634.6666666,469242628.8062593,36,1.0,1.0,0.1,750,10,15,0.01,0.2,0.7,,
16.074704964955647,0.3046672326975553,0.1143859227498372,0.003728620550395,0.8,0.0,10.0,350,5,13,0.01,0.4,0.7,-1658439808.0,-654867200.0,-640496576.0,-984601194.6666666,476511969.99500406,73,0.8,0.0,10.0,350,5,13,0.01,0.4,0.7,,
4.336325565973918,0.1314502922080782,0.0781886577606201,0.0162199983068561,0.6,10.0,1.0,400,5,11,0.07,0.2,0.8,-1590531584.0,-606252800.0,-594161152.0,-930315178.6666666,466869595.2056921,12,0.6,10.0,1.0,400,5,11,0.07,0.2,0.8,,
35.31437802314758,1.0512264421938746,0.1693983872731526,0.0085976682170533,0.7,1.0,10.0,850,1,13,0.01,0.5,0.7,-1607487488.0,-626315328.0,-605985920.0,-946596245.3333334,467394371.0847231,33,0.7,1.0,10.0,850,1,13,0.01,0.5,0.7,,
12.031067530314129,0.1739477212703992,0.0891044934590657,0.0101153033117613,0.9,0.1,10.0,150,10,15,0.01,0.4,0.7,-2135525376.0,-1145271424.0,-1164717056.0,-1481837952.0,462294977.5289847,98,0.9,0.1,10.0,150,10,15,0.01,0.4,0.7,,
18.090916951497395,0.1919458416977889,0.1085536479949951,0.0070320649593001,0.9,10.0,1.0,450,10,15,0.01,0.2,0.6,-1719070208.0,-701554112.0,-679699968.0,-1033441429.3333334,484894845.9920301,90,0.9,10.0,1.0,450,10,15,0.01,0.2,0.6,,
62.56385461489359,0.6709374567954836,0.1951182683308919,0.0089576997278393,0.7,0.1,0.1,500,1,15,0.01,0.5,0.7,-1627694720.0,-649310272.0,-631904576.0,-969636522.6666666,465371667.1446657,62,0.7,0.1,0.1,500,1,15,0.01,0.5,0.7,,
4.8907434940338135,0.0322478782836855,0.0807933012644449,0.0024148354776473,1.0,0.0,0.1,100,1,12,0.1,0.4,0.7,-1688407808.0,-694969920.0,-731612032.0,-1038329920.0,459917823.4154884,91,1.0,0.0,0.1,100,1,12,0.1,0.4,0.7,,
1.410260756810506,0.0353482354882147,0.0621212323506673,0.0073071844184752,0.7,0.1,0.0,100,1,9,0.1,0.4,0.7,-1637216768.0,-716708544.0,-664167424.0,-1006030912.0,446830938.1511485,84,0.7,0.1,0.0,100,1,9,0.1,0.4,0.7,,
3.0696192582448325,0.0971768802806218,0.0795286496480306,0.0083702651804011,1.0,0.0,1.0,200,10,11,0.05,0.2,0.8,-1613600512.0,-627424064.0,-629588736.0,-956871104.0,464378658.6757548,44,1.0,0.0,1.0,200,10,11,0.05,0.2,0.8,,
34.28507781028748,0.69625281137331,0.1758109728495279,0.0027788335068512,1.0,10.0,0.1,900,10,16,0.01,0.2,0.8,-1620612224.0,-627056512.0,-600816128.0,-949494954.6666666,474672470.4721417,38,1.0,10.0,0.1,900,10,16,0.01,0.2,0.8,,
28.767582575480144,0.3047906073088798,0.1520805358886718,0.0075030826583707,0.8,10.0,0.1,750,10,16,0.01,0.2,0.8,-1639540864.0,-641838848.0,-597486016.0,-959621909.3333334,481116155.1454178,49,0.8,10.0,0.1,750,10,16,0.01,0.2,0.8,,
0.9374345143636068,0.0024642777972394,0.0663132667541503,0.00582753725509,0.9,1.0,0.0,150,10,6,0.1,0.5,0.7,-1639989376.0,-671309824.0,-673740672.0,-995013290.6666666,456068043.34765166,78,0.9,1.0,0.0,150,10,6,0.1,0.5,0.7,,
16.26604715983073,0.1115910226092805,0.101450761159261,0.0054939955717445,1.0,0.1,10.0,300,5,13,0.01,0.0,0.7,-1690962944.0,-697634944.0,-673039488.0,-1020545792.0,474162842.90371895,89,1.0,0.1,10.0,300,5,13,0.01,0.0,0.7,,
4.181137005488078,0.0405569691735767,0.0940112272898356,0.0065744556512526,0.9,0.1,0.1,850,5,7,0.05,0.0,0.6,-1573626112.0,-595333376.0,-585033472.0,-917997653.3333334,463618398.3017528,3,0.9,0.1,0.1,850,5,7,0.05,0.0,0.6,,
18.758170286814373,0.6782369448851688,0.1102064450581868,0.0075521052942155,0.6,0.1,1.0,300,1,14,0.07,0.1,0.7,-1619636224.0,-679281152.0,-706066560.0,-1001661312.0,437111052.568633,81,0.6,0.1,1.0,300,1,14,0.07,0.1,0.7,,
2.6783668994903564,0.0818182472421777,0.0859295527140299,0.0069975011695225,0.9,0.0,10.0,400,5,8,0.07,0.5,0.7,-1594796032.0,-594267904.0,-598506624.0,-929190186.6666666,470657587.9860259,10,0.9,0.0,10.0,400,5,8,0.07,0.5,0.7,,
4.815443674723308,0.0363336710773052,0.088558276494344,0.003660627632486,0.9,0.0,0.02,650,1,8,0.05,0.2,0.8,-1602588544.0,-637169600.0,-630829504.0,-956862549.3333334,456604565.8594274,43,0.9,0.0,0.02,650,1,8,0.05,0.2,0.8,,
21.33290433883667,0.8532346056985654,0.144354502360026,0.0122860228890268,0.9,10.0,0.1,750,1,12,0.07,0.0,0.8,-1618258432.0,-684270080.0,-578539584.0,-960356032.0,467205458.29461473,50,0.9,10.0,0.1,750,1,12,0.07,0.0,0.8,,
6.110477526982625,0.2756606166245042,0.0920691490173339,0.0050657615527659,0.9,10.0,0.0,650,1,9,0.01,0.5,0.8,-1694118528.0,-696588864.0,-640729408.0,-1010478933.3333334,483943792.3651583,86,0.9,10.0,0.0,650,1,9,0.01,0.5,0.8,,
18.561739444732662,0.3238324217322709,0.1095005671183268,0.0063706678661617,0.6,10.0,10.0,350,5,16,0.01,0.5,0.7,-1790921472.0,-771525248.0,-729327744.0,-1097258154.6666667,490796465.4153974,93,0.6,10.0,10.0,350,5,16,0.01,0.5,0.7,,
6.949726502100627,0.1711750181518145,0.1001802285512288,0.0055548859885952,0.9,0.1,0.02,450,5,11,0.1,0.1,0.7,-1608692608.0,-601335872.0,-635560384.0,-948529621.3333334,467014779.2300223,37,0.9,0.1,0.02,450,5,11,0.1,0.1,0.7,,
18.903414487838745,2.075852566737586,0.1223165988922119,0.0029019283504175,1.0,10.0,10.0,500,5,16,0.05,0.5,0.8,-1605286656.0,-623954176.0,-588556416.0,-939265749.3333334,471169563.56218576,28,1.0,10.0,10.0,500,5,16,0.05,0.5,0.8,,
3.040748914082845,0.0343068469290912,0.0906616846720377,0.0047442276870226,1.0,0.1,10.0,800,5,6,0.1,0.4,0.7,-1574532096.0,-619642176.0,-604031936.0,-932735402.6666666,453863537.9189175,14,1.0,0.1,10.0,800,5,6,0.1,0.4,0.7,,
